control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
2019656879,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,FROG,LIV,100,NO,NA,HK,HK,T,C,C,C,2019-11-18T00:00:00Z,2019,2019-11-17T00:00:00Z,2019,I,NY,NA,NA,NA
2019656942,HYMB,amphibian,Amphibia,Hymenochirus,boettgeri,NA,ZAIRE DWARF CLAWED,FROG,LIV,750,NO,NA,ID,ID,T,C,C,C,2019-11-18T00:00:00Z,2019,2019-11-16T00:00:00Z,2019,I,NY,NA,NA,NA
2019657297,CTL?,amphibian,Amphibia,Centrolene,sp.,NA,GIANT GLASS,FROG,SPE,3,NO,NA,PA,BR,S,W,C,C,2019-11-19T00:00:00Z,2019,2019-11-16T00:00:00Z,2019,I,DU,NA,NA,NA
2019657385,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,FROG,LIV,680,NO,NA,HK,HK,T,C,C,C,2019-11-19T00:00:00Z,2019,2019-11-19T00:00:00Z,2019,I,AT,NA,NA,NA
2019657399,PLTF,amphibian,Amphibia,Phrynobatrachus,latifrons,NA,AHL'S RIVER,FROG,SPE,1,NO,NA,TG,DE,S,W,C,C,2019-11-19T00:00:00Z,2019,2019-11-08T00:00:00Z,2019,I,4,NA,NA,NA
2019657399,PLTF,amphibian,Amphibia,Phrynobatrachus,latifrons,NA,AHL'S RIVER,FROG,SPE,4,NO,NA,CM,DE,S,W,C,C,2019-11-19T00:00:00Z,2019,2019-11-08T00:00:00Z,2019,I,4,NA,NA,NA
2019657755,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,28000,NO,NA,TW,TW,T,R,C,C,2019-11-19T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,LA,NA,NA,NA
2019657762,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,22500,NO,NA,TW,TW,T,R,C,C,2019-11-19T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,LA,NA,NA,NA
2019657972,TCRT,amphibian,Amphibia,Theloderma,corticale,NA,TONKIN BUG-EYED,FROG,LIV,40,NO,NA,TH,TH,T,C,C,C,2019-11-19T00:00:00Z,2019,2019-11-19T00:00:00Z,2019,I,SE,NA,NA,NA
2019658143,LIT?,amphibian,Amphibia,Litoria,sp.,NA,TREE,FROG,SPE,4,NO,NA,NC,NC,S,W,C,C,2019-11-19T00:00:00Z,2019,2019-11-03T00:00:00Z,2019,I,SY,NA,NA,NA
2019658256,PBC?,amphibian,Amphibia,Phrynobatrachus,sp.,NA,RIVER,FROG,SPE,6,NO,NA,GA,GA,S,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,DU,NA,NA,NA
2019658302,BMAR,amphibian,Amphibia,Rhinella,marina,NA,CANE,TOAD,LIV,15,NO,NA,SR,SR,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-19T00:00:00Z,2019,I,MI,NA,NA,NA
2019658316,HYMB,amphibian,Amphibia,Hymenochirus,boettgeri,NA,ZAIRE DWARF CLAWED,FROG,LIV,1200,NO,NA,SG,SE,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,CH,NA,NA,NA
2019658444,DEAU,amphibian,Amphibia,Dendrobates,auratus,NA,GREEN,POISON-ARROW FROG,LIV,36,NO,NA,CO,CO,T,C,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019658444,PART,amphibian,Amphibia,Phyllobates,aurotaenia,NA,KOKOE,POISON FROG,LIV,10,NO,NA,CO,CO,T,C,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019658444,PBIC,amphibian,Amphibia,Phyllobates,bicolor,NA,TWO-TONED,POISON FROG,LIV,10,NO,NA,CO,CO,T,C,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019658444,PHTE,amphibian,Amphibia,Phyllobates,terribilis,NA,GOLDEN,POISON FROG,LIV,23,NO,NA,CO,CO,T,C,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019658444,DEHI,amphibian,Amphibia,Oophaga,histrionica,NA,RED-AND-BLACK,POISON-ARROW FROG,LIV,103,NO,NA,CO,CO,T,C,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019658444,DLEH,amphibian,Amphibia,Oophaga,lehmanni,NA,RED-BANDED,POISON-ARROW FROG,LIV,11,NO,NA,CO,CO,T,C,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019658454,LICA,amphibian,Amphibia,Litoria,caerulea,NA,WHITE'S TREE,FROG,LIV,240,NO,NA,ID,ID,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,MI,NA,NA,NA
2019658454,DUME,amphibian,Amphibia,Duttaphrynus,melanostictus,NA,COMMON INDIAN,TOAD,LIV,70,NO,NA,ID,ID,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,MI,NA,NA,NA
2019658457,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,200,NO,NA,VN,VN,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,MI,NA,NA,NA
2019658457,BUME,amphibian,Amphibia,Bufo,melanostictus,NA,BLACK-SPINED,TOAD,LIV,68,NO,NA,VN,VN,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,MI,NA,NA,NA
2019658806,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,SPE,673,NO,NA,CN,CN,S,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,AT,NA,NA,NA
2019658850,LITF,amphibian,Amphibia,Lithobates,forreri,NA,FORRER'S GRASS,FROG,SPE,2430,NO,NA,MX,MX,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NG,NA,NA,NA
2019658850,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,SPE,40,NO,NA,MX,MX,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NG,NA,NA,NA
2019659249,PBIF,amphibian,Amphibia,Phrynomantis,bifasciatus,NA,S AFR SNAKE-NECK,FROG,LIV,100,NO,NA,TG,TG,T,W,C,C,2019-11-21T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,MI,NA,NA,NA
