control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1900,NO,NA,SG,SG,T,W,C,C,1999-08-15,1999,1999-08-15,1999,I,LA,NA,NA,NA
NA,BOMB,amphibian,Amphibia,Bombina,sp.,NA,FIREBELLY,TOAD,LIV,2300,NO,NA,UA,UA,T,W,C,C,1999-06-04,1999,1999-06-04,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1900,NO,NA,SG,SG,T,C,C,C,1999-07-25,1999,1999-07-25,1999,I,LA,NA,NA,NA
NA,ANCT,amphibian,Amphibia,NA,NA,NA,NON-CITES,AMPHIBIANS,LIV,150,NO,NA,ID,ID,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1500,NO,NA,ID,ID,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,OOLI,amphibian,Amphibia,Ooedozyga,lima,NA,PADDY,FROG,LIV,900,NO,NA,ID,ID,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,BUFO,amphibian,Amphibia,Bufo,sp.,NA,NA,TOAD,LIV,18,NO,NA,ID,ID,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,LICA,amphibian,Amphibia,Litoria,caerulea,NA,WHITE'S TREE,FROG,LIV,468,NO,NA,ID,ID,T,W,C,C,1999-08-08,1999,1999-08-08,1999,I,LA,NA,NA,NA
NA,HYMB,amphibian,Amphibia,Hymenochirus,boettgeri,NA,ZAIRE DWARF CLAWED,FROG,LIV,750,NO,NA,HK,HK,T,W,C,C,1999-06-27,1999,1999-06-27,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1700,NO,NA,SG,SG,T,W,C,C,1999-08-01,1999,1999-08-01,1999,I,LA,NA,NA,NA
NA,HYM?,amphibian,Amphibia,Hymenochirus,sp.,NA,DWARF CLAWED,FROG,LIV,800,NO,NA,HK,HK,T,C,C,C,1999-08-17,1999,1999-08-17,1999,I,SF,NA,NA,NA
NA,HYM?,amphibian,Amphibia,Hymenochirus,sp.,NA,DWARF CLAWED,FROG,LIV,300,NO,NA,HK,HK,T,C,C,C,1999-08-16,1999,1999-08-16,1999,I,SF,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,10000,NO,NA,TW,TW,T,W,C,C,1999-08-19,1999,1999-08-23,1999,I,SF,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,900,NO,NA,ID,ID,T,W,C,C,1999-05-23,1999,1999-05-23,1999,I,LA,NA,NA,NA
NA,OOLI,amphibian,Amphibia,Ooedozyga,lima,NA,PADDY,FROG,LIV,600,NO,NA,ID,ID,T,W,C,C,1999-05-23,1999,1999-05-23,1999,I,LA,NA,NA,NA
NA,BUME,amphibian,Amphibia,Bufo,melanostictus,NA,BLACK-SPINED,TOAD,LIV,20,NO,NA,ID,ID,T,W,C,C,1999-05-23,1999,1999-05-23,1999,I,LA,NA,NA,NA
NA,LICA,amphibian,Amphibia,Litoria,caerulea,NA,WHITE'S TREE,FROG,LIV,340,NO,NA,ID,ID,T,W,C,C,1999-05-23,1999,1999-05-23,1999,I,LA,NA,NA,NA
NA,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,TOAD,LIV,1250,NO,NA,HK,HK,T,W,C,C,1999-05-18,1999,1999-05-15,1999,I,NY,NA,NA,NA
NA,CYPY,amphibian,Amphibia,Cynops,pyrrhogaster,NA,JAPANESE FIREBELLY,NEWT,LIV,150,NO,NA,HK,HK,T,W,C,C,1999-05-18,1999,1999-05-15,1999,I,NY,NA,NA,NA
NA,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,TOAD,LIV,625,NO,NA,HK,HK,T,W,C,C,1999-06-14,1999,1999-06-12,1999,I,NY,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,25,NO,NA,HK,HK,T,W,C,C,1999-06-14,1999,1999-06-12,1999,I,NY,NA,NA,NA
NA,CYPY,amphibian,Amphibia,Cynops,pyrrhogaster,NA,JAPANESE FIREBELLY,NEWT,LIV,150,NO,NA,HK,HK,T,W,C,C,1999-06-14,1999,1999-06-12,1999,I,NY,NA,NA,NA
