order,family,genus,species,genus_aw,species_aw,common_name,type,country,infection?,disease?,Lacey Act listed?,ref1,ref2,ref3,ref4,ref5,ref6,notes
Caudata,Salamandridae,Triturus,marmoratus,Triturus,marmoratus,marbled newt,wild,Spain,1,1,1,Martel_etal_2020,Ribas_etal_2022,,,,,
Caudata,Salamandridae,Triturus,macedonicus,Triturus,macedonicus,Macedonian crested newt,captive,Netherlands,1,1,1,Fitzpatrick_etal_2018,,,,,,reported in main text but not supplementary material
Caudata,Salamandridae,Tylototriton,vietnamensis,Tylototriton,vietnamensis,Vietnamese crocodile newt,wild,Vietnam,1,0,1,Laking_etal_2017,,,,,,
Caudata,Salamandridae,Tylototriton,asperrimus,Tylototriton,asperrimus,Black knobby newt,wild,Vietnam,1,0,1,Laking_etal_2017,,,,,,
Caudata,Salamandridae,Tylototriton,wenxianensis,Tylototriton,wenxianensis,Wenxian knobby newt,lab,N/A,1,1,1,Martel_etal_2014,,,,,,
Caudata,Salamandridae,Tylototriton,vietnamensis,Tylototriton,vietnamensis,Vietnamese crocodile newt,captive,not specified,1,0,1,Martel_etal_2014,,,,,,
Caudata,Salamandridae,Tylototriton,uyenoi,Tylototriton,uyenoi,Chiang Mai crocodile newt,wild,Thailand,1,0,1,Martel_etal_2014,,,,,,
Caudata,Salamandridae,Tylototriton,ziegleri,Tylototriton,ziegleri,Ziegler's crocodile newt,wild,Vietnam,1,0,1,Martel_etal_2014,Laking_etal_2017,,,,,
Caudata,Salamandridae,Tylototriton,asperrimus,Tylototriton,asperrimus,Black knobby newt,wild,China,1,0,1,Yuan_etal_2018,,,,,,
Caudata,Salamandridae,Tylototriton,verrucosus,Tylototriton,verrucosus,Himalayan newt,wild,China,1,0,1,Yuan_etal_2018,,,,,,
Caudata,Salamandridae,Paramesotriton,sp.,Paramesotriton,sp.,N/A,wild,Vietnam,1,0,1,Laking_etal_2017,,,,,,
Caudata,Salamandridae,Triturus,anatolicus,Triturus,anatolicus,Anatolian crested newt,wild,Spain,1,1,1,Martel_etal_2020,,,,,,
Caudata,Salamandridae,Calotriton,arnoldi,Calotriton,arnoldi,Montensy brook salamander,lab,N/A,1,1,0,Martel_etal_2020,,,,,,
Caudata,Salamandridae,Triturus,anatolicus,Triturus,anatolicus,Anatolian crested newt,lab,N/A,1,1,1,Martel_etal_2020,,,,,,
Caudata,Salamandridae,Triturus,marmoratus,Triturus,marmoratus,marbled newt,lab,N/A,1,1,1,Martel_etal_2020,Friday_etal_2020,,,,,
Caudata,Ambystomatidae,Ambystoma,maculatum,Ambystoma,maculatum,spotted salamander,lab,N/A,1,0,0,Martel_etal_2020,Barnhart_etal_2020,,,,,
Caudata,Salamandridae,Lyciasalamandra,helverseni,Lyciasalamandra,helverseni,Karpathos salamander,lab,N/A,1,1,0,Li_etal_2020a,,,,,,
Caudata,Plethodontidae,Desmognathus,apalachicolae,Desmognathus,apalachicolae,Apalachicola dusky salamander,lab,N/A,1,1,0,Friday_etal_2020,,,,,,
Caudata,Plethodontidae,Desmognathus,auriculatus,Desmognathus,auriculatus,Holbrook's southern dusky salamander,lab,N/A,1,1,0,Friday_etal_2020,,,,,,
Caudata,Plethodontidae,Desmognathus,conanti,Desmognathus,conanti,Spotted dusky salamander,lab,N/A,1,1,0,Friday_etal_2020,,,,,,
Caudata,Plethodontidae,Eurycea,cirrigera,Eurycea,cirrigera,Southern two-lined salamander,lab,N/A,1,1,0,Friday_etal_2020,,,,,,
Caudata,Plethodontidae,Eurycea,guttolineata,Eurycea,guttolineata,three-lined salamander,lab,N/A,1,1,0,Friday_etal_2020,,,,,,
Caudata,Salamandridae,Triturus,cristatus,Triturus,cristatus,great crested newt,wild,Germany,1,1,1,Lotters_etal_2020,,,,,,
Caudata,Hynobiidae,Hynobius,sonani,Hynobius,sonani,Taichu salamander,wild,Taiwan,1,0,1,Beukema_etal_2018,,,,,,
Caudata,Plethodontidae,Eurycea,bislineata,Eurycea,bislineata,Northern two-lined salamander,lab,N/A,1,1,0,Gray_etal_2023,,,,,,
Caudata,Sirenidae,Pseudobranchus,striatus,Pseudobranchus,striatus,Northern dwarf siren,lab,N/A,1,0,0,Gray_etal_2023,,,,,,
Caudata,Plethodontidae,Plethodon,shermani,Plethodon,shermani,red-legged salamander,lab,N/A,1,0,1,Gray_etal_2023,,,,,,
Caudata,Ambystomatidae,Ambystoma,opacum,Ambystoma,opacum,marbled salamander,lab,N/A,1,0,0,Gray_etal_2023,,,,,,
Caudata,Sirenidae,Siren,lacertina,Siren,lacertina,Greater siren,lab,N/A,1,0,1,Gray_etal_2023,,,,,,
